line_id,cn_source,cn_content,en_source,en_content,wallpapers_dir
1,《泰坦尼克号》,"你跳，我也跳。","Titanic","I jump, you jump.","Titanic (1997) [imdbid-tt0120338]"
2,《阿甘正传》,"生活就像一盒巧克力，你永远不知道下一块是什么。","Forrest Gump","Life is like a box of chocolates, you never know what you're gonna get.","Forrest Gump (1994) [imdbid-tt0109830]"
3,《教父》,"我会给他一个他无法拒绝的提议。","The Godfather","I'm gonna make him an offer he can't refuse.","The Godfather (1972) [imdbid-tt0068646]"
4,《星球大战》,"愿原力与你同在。","Star Wars","May the Force be with you.","Star Wars (1977) [imdbid-tt0076759]"
5,《肖申克的救赎》,"希望是件好事，也许是人间至善，而美好的事永不消逝。","The Shawshank Redemption","Hope is a good thing, maybe the best of things, and no good thing ever dies.","The Shawshank Redemption (1994) [imdbid-tt0111161]"
6,《当幸福来敲门》,"不要让人告诉你你不能做什么。","The Pursuit of Happyness","Don't ever let somebody tell you you can't do something.","The Pursuit of Happiness (2006) [imdbid-tt0454921]"
7,《阿凡达》,"我看到你。","Avatar","I see you.","Avatar (2009) [imdbid-tt0499549]"
8,《乱世佳人》,"明天又是新的一天。","Gone with the Wind","After all, tomorrow is another day!","Gone with the Wind (1939) [imdbid-tt0031381]"
9,《这个杀手不太冷》,"我喜欢这种感觉，你呢？","Léon: The Professional","I like these calm little moments before the storm. Do you?","Leon The Professional (1994) [imdbid-tt0110413]"
10,《美丽心灵》,"我必须相信，对于我自己，我的工作，我的家庭，我的朋友，我的生活，一切都有可能。","A Beautiful Mind","I have to believe that something extraordinary is possible.","A Beautiful Mind (1994) [imdbid-tt0268978]"
11,《教父》,"这不是个人的，这是生意。","The Godfather","It's not personal, it's business.","The Godfather (1972) [imdbid-tt0068646]"
12,《黑暗骑士》,"你要么死成英雄，要么活得足够长的时间，看到自己成为恶人。","The Dark Knight","You either die a hero, or you live long enough to see yourself become the villain.","The Dark Knight (2008) [imdbid-tt0468569]"
13,《飞越疯人院》,"我必须疯了，否则我不会在这儿。","One Flew Over the Cuckoo's Nest","I must be crazy to be in a loony bin like this.","One Flew Over the Cuckoos Nest (1975) [imdbid-tt0073486]"
14,《闪灵》,"这里是约翰尼！","The Shining","Here's Johnny!","The Shining (1980) [imdbid-tt0081505]"
